latitude,longitude
43.626384,-100.63665
45.018336,-97.91229
46.672999,-100.706169
46.036063,-107.470788
46.09121,-111.03721
42.215169,-104.84363
43.087821,-112.398919
43.407916,-114.770928
44.597435,-122.077932
44.220723,-123.088232
43.300322,-123.703198
45.095943,-121.41929
42.883134,-123.923078
41.417114,-123.571669
41.219082,-122.824926
41.11984,-123.615595
41.413445,-121.508427
40.734316,-124.165956
40.40049,-123.704732
40.018938,-122.540987
41.219728,-121.179278
40.75532,-120.25683
40.555287,-120.783943
36.641702,-121.135352
37.133772,-118.939047
37.935262,-119.905421
37.168798,-118.631564
35.361896,-116.918447
39.613888,-123.770918
40.655378,-121.706391
39.816711,-120.564313
35.074684,-118.148377
40.987932,-124.122327
38.590845,-120.125052
36.075465,-116.962373
36.641702,-117.709116
36.075465,-116.127777
35.505121,-115.424959
41.680861,-123.287731
36.852978,-116.259555
36.571148,-115.029624
36.039938,-114.590363
39.546147,-119.46616
39.669671,-119.060754
40.175201,-111.637244
37.086406,-113.262509
37.261485,-113.877475
41.09229,-111.855462
32.579799,-111.276614
32.245909,-110.442018
33.42743,-112.726175
35.135914,-111.646348
34.938015,-106.682699
32.359373,-106.704662
41.305408,-104.873505
41.156686,-104.98332
41.122976,-100.796955
43.621755,-96.92112
42.627486,-96.470877
41.174972,-103.701718
40.57475,-96.699946
39.028786,-95.519521
37.82843,-97.679363
36.213601,-95.854457
35.965016,-95.766605
35.178649,-97.501686
35.322199,-94.514711
35.169879,-101.52693
35.044052,-101.746561
31.795306,-102.385634
31.912536,-101.918233
31.445067,-100.380819
33.849889,-98.338256
32.396197,-99.568186
32.72953,-97.657401
32.396197,-95.219503
30.446306,-97.591512
30.142752,-97.481697
31.576196,-102.90657
31.069403,-97.789179
31.407568,-97.020473
30.332583,-97.50366
30.009652,-94.143313
27.889612,-97.327955
28.721453,-96.910658
28.721453,-100.380819
29.278763,-98.645738
29.7377,-94.868094
29.966386,-95.614838
30.034102,-94.131388
32.327249,-93.758016
31.048816,-92.388822
30.577041,-91.312633
30.292868,-91.861709
29.988839,-90.346259
29.93173,-90.038286
32.420979,-90.132658
31.956095,-90.418178
34.817609,-89.978917
35.456755,-94.232383
36.144009,-94.070354
35.780221,-90.853691
35.27057,-90.238725
33.473263,-93.888195
30.270854,-89.71557
33.204151,-87.277671
33.409627,-86.782362
32.385724,-86.255249
33.976357,-85.914822
34.604107,-87.008121
34.712549,-86.50297
35.25021,-89.671784
35.626152,-88.738354
35.893605,-86.772661
36.047156,-89.325241
36.207854,-86.779267
36.012589,-86.620035
35.035021,-85.391417
34.972028,-85.19375
35.178825,-84.886267
35.982972,-83.886948
33.833029,-84.453955
32.82331,-83.564452
32.047843,-81.101673
33.406403,-81.991177
33.95048,-81.153119
33.923136,-83.382368
34.765237,-84.927975
34.82085,-82.328267
32.358938,-84.875681
30.578667,-84.458383
30.50297,-81.800854
30.256547,-81.449445
29.658148,-82.417415
29.156284,-80.983811
28.021379,-82.448055
27.895225,-82.371184
26.615848,-81.942904
28.524511,-81.338921
25.904128,-80.173635
25.745902,-80.316395
27.074221,-80.316395
38.458562,-90.577083
38.972889,-92.334127
37.386458,-92.74276
41.535824,-93.836709
41.338154,-95.769457
44.735089,-93.258892
44.930294,-92.848375
46.847689,-96.655704
45.512362,-94.181242
44.77623,-91.413897
43.819325,-91.199371
44.009268,-88.563805
43.045464,-87.959821
43.157766,-89.255641
43.01334,-89.387419
42.583675,-87.843398
41.547902,-90.511909
40.64548,-89.589461
41.465627,-88.183826
42.218602,-89.00744
41.900488,-87.85438
41.580782,-87.448064
38.758501,-90.558452
38.655622,-90.075265
38.509624,-89.701893
36.99844,-88.535106
37.870788,-87.41499
38.104575,-85.646965
38.192593,-85.857673
38.028352,-84.660687
41.635556,-86.301125
39.145239,-86.546555
39.739138,-85.975516
41.628499,-87.027683
38.124092,-84.552765
37.779297,-84.312201
39.103473,-84.260393
39.247244,-84.595957
39.255751,-84.310438
39.730525,-84.079826
40.042598,-82.877487
39.946332,-83.033244
38.309437,-81.655277
36.630338,-82.18578
41.621602,-83.541397
41.019542,-81.493176
38.263309,-85.655066
42.919255,-85.638
42.661263,-84.616718
42.410308,-83.18912
42.215328,-83.496602
41.372783,-81.778809
40.484657,-80.175506
39.9309,-82.822053
40.445118,-79.783817
39.46721,-77.505709
38.879541,-77.220189
37.387993,-79.064785
35.507811,-80.588257
35.838029,-80.138014
35.659702,-78.512749
36.007069,-79.072807
34.771124,-77.491467
33.820694,-78.970692
32.893894,-80.024919
35.00796,-80.925404
36.06818,-80.233526
37.047813,-76.454938
39.07561,-76.591564
39.446799,-75.634455
40.172578,-76.842423
40.561449,-75.523737
40.13443,-74.842883
39.983072,-75.018587
39.983072,-75.018587
40.168019,-74.096139
39.399757,-74.513437
39.738511,-75.337051
40.761463,-74.03025
40.345318,-74.308093
42.124774,-76.035002
43.070957,-76.254633
43.12711,-75.222369
40.757238,-73.19574
40.832093,-72.712553
41.163762,-73.217703
42.335802,-73.349183
41.345468,-72.415754
41.658132,-72.789125
41.731147,-72.572635
41.422955,-72.083957
41.767791,-71.346495
41.65297,-70.87429
42.200611,-71.873608
42.086567,-71.039012
42.920795,-71.45631
42.729109,-71.440508
41.654702,-70.80358
43.144116,-71.544446
43.175232,-70.83854
44.236068,-72.575938
44.526588,-73.16894
44.345704,-69.738122
43.745553,-70.29818
44.644598,-69.483402
41.455336,-122.018397
41.731355,-120.942169
41.468457,-120.458982
40.238654,-123.885217
39.868642,-123.797365
40.972640,-120.415056
32.834597,-116.505633
32.908415,-115.671037
36.664563,-117.139074
37.983513,-118.983198
34.791814,-119.906851
36.770242,-117.051654
37.801646,-119.160107
36.311252,-116.612393
32.822047,-115.557652
41.274194,-120.435059
40.108013,-123.246329
39.517284,-122.675290
35.420392,-119.728205
35.420392,-119.728205
35.348736,-119.728205
36.026889,-117.707604
35.920196,-120.387096
34.266296,-115.335595
33.792844,-114.808482
33.132951,-114.940260
40.543026,-123.022662
39.394816,-122.347842
39.326862,-123.665625
34.841986,-117.999159
35.165950,-119.931907
36.094609,-120.415094
35.952442,-119.844055
36.871931,-118.438420
36.519570,-118.570198
34.661452,-114.968258
35.952442,-121.337542
36.413547,-121.381468
